SHOW,ICON,TITLE,ID,URL
The Classics,,Season ?,Complete,
,,Scarlet Chilleez,AVATAR|b6ee13b1-35c8-11ec-addf-122acdf951f1|en|US|80148069,https://occ-0-3945-2567.1.nflxso.net/dnm/api/v6/K6hjPJd6cR6FpVELC5Pd6ovHRSk/AAAABYSw2XUJOe-RXGqlMhzAK2kb3m8jiiuICaICOYRemQXvfBcEmoaG0XMebWDsKrQ4fhsAYwzopxK6Cm5l5w2F9iMzCVqZuapW7A.png?r=201
,,Sunny Chilleez,AVATAR|adab51a1-35c8-11ec-9d85-1208f4794237|en|US|80148069,https://occ-0-3945-2567.1.nflxso.net/dnm/api/v6/K6hjPJd6cR6FpVELC5Pd6ovHRSk/AAAABVAOVZB6hbXn66eL28YYwIrZ3y7G9clKxQtWp-2Dc1_uq2MuLsPa_mD3N1jJlpMc_61au7gZ69iuTZmeg_YjE-5YKAGbR8JFKg.png?r=7c7
,,Robin Chilleez,AVATAR|a61c8120-35c8-11ec-8615-0a0048fe8799|en|US|80148069,https://occ-0-3945-2567.1.nflxso.net/dnm/api/v6/K6hjPJd6cR6FpVELC5Pd6ovHRSk/AAAABcD0ZrsIMMPdVENlhcMLhAEQsGSplhivXwxPolt5h1wP1bquIL83x4fkrS6we4cwNWTe1nn7exw7GDMLe-72PiRcoMIBjdjmmA.png?r=b39
,,Dusty Chilleez,AVATAR|94905121-35c8-11ec-8226-12003f65d8c5|en|US|80148069,https://occ-0-3945-2567.1.nflxso.net/dnm/api/v6/K6hjPJd6cR6FpVELC5Pd6ovHRSk/AAAABQF7SR467QFM7baRi8ZVxwtPaStoMd9-KZ8qZqba8Tuu8x9OWqkYvzubJwrfBQmJp0spenD2JvuyNz7H1OuY3zhTr6_hZokHwQ.png?r=6a6
,,Purple Superhero,AVATAR|1436fd22-36c7-11e8-b308-0e1f42e0af2a|en|US|80148069,https://occ-0-3945-2567.1.nflxso.net/dnm/api/v6/K6hjPJd6cR6FpVELC5Pd6ovHRSk/AAAABWP7dngMuFj6d4Hr3kCkJAijucivMNIbY6ak4NJtbCgEWKSEqE_31Kp6kTIip3kS0JUhEnA78GnsLSq0M829d2jpc4aqffP5ng.png?r=558
,,Moustache,AVATAR|143639d1-36c7-11e8-b308-0e1f42e0af2a|en|US|80148069,https://occ-0-3945-2567.1.nflxso.net/dnm/api/v6/K6hjPJd6cR6FpVELC5Pd6ovHRSk/AAAABeKAhhelX-wz_RiGf_mTrXQgLH9heqmzLj3VTGX3aATuJpHuRGWC_BHqa2yc7HXPSgQ9bfDKD5aXWG7yPRSIYNRVj1CSfDpqNw.png?r=cad
,,Dog,AVATAR|1436d612-36c7-11e8-b308-0e1f42e0af2a|en|US|80148069,https://occ-0-3945-2567.1.nflxso.net/dnm/api/v6/K6hjPJd6cR6FpVELC5Pd6ovHRSk/AAAABRNxh2T8XhS7jBOLKwI1j-R0CJFhtTa-nxz5EhkX0EL4ue-amefp4mC1fsf0-rd8vynj9TXF2unD7iD4vFlh5kp5XCMtfUa4NA.png?r=a16
,,Red Superhero,AVATAR|1436d610-36c7-11e8-b308-0e1f42e0af2a|en|US|80148069,https://occ-0-3945-2567.1.nflxso.net/dnm/api/v6/K6hjPJd6cR6FpVELC5Pd6ovHRSk/AAAABQbPHLHMADSYHIjUxUrTHwEeJXOX-rF9NpbKyfLmXJnukropAUAR-faZGpu9eIgjUKX5udaZMo6Wze-ifSqCOKW7CfizWSlYJg.png?r=eea
,,Purple Penguin,AVATAR|143687f2-36c7-11e8-b308-0e1f42e0af2a|en|US|80148069,https://occ-0-3945-2567.1.nflxso.net/dnm/api/v6/K6hjPJd6cR6FpVELC5Pd6ovHRSk/AAAABSQGQWkzf71tVsbzO1dU6kvtezyXhoWTkUzebNS_MSeRVGdckDNMVs1q7DIks1J_qGDNfrVjr2OEZvTPsNq9zBLKCbgRvCj-RA.png?r=d47
